,0
0,-56.30425346510291
1,-328.70985633971566
2,-535.4982801677736
3,-755.4534632386406
4,-993.1150119471736
5,-1257.4638007186218
6,-1541.771045164668
7,-1816.083523741134
8,-2090.5330211351243
9,-2329.259288194811
10,-2599.268940340967
11,-2842.5671045362324
12,-3086.372516789098
13,-3356.212449310206
14,-3631.600773482518
15,-3916.553496123953
16,-4098.773667399654
17,-4366.503178940742
18,-4646.386850846164
19,-4873.15230350444
20,-5108.137194255085
21,-5385.865819672261
22,-5618.541330692311
23,-5890.531302447363
24,-6181.723642584673
25,-6435.844764948456
26,-6678.911807780556
27,-6899.874217505755
28,-7127.019448634153
29,-7405.290626067025
30,-7683.444624638267
31,-7958.204146969481
32,-8238.316142949285
33,-8491.992370132442
34,-8754.826067145428
35,-9031.382229430234
36,-9268.616728477444
37,-9504.289247829316
38,-9762.960600699727
39,-10041.393507843819
40,-10306.574747248898
