,0
0,5.74997208051435
1,-133.62797406160306
2,-461.58883001993036
3,-681.9530532329999
4,-841.6038896399187
5,-1092.6070592160931
6,-1285.5027377361355
7,-1414.964956818679
8,-1407.586802410152
9,-1504.7813782621208
10,-1608.6182434893487
11,-1724.6629517091137
12,-1710.7948159577263
13,-1623.6349855209817
14,-1783.088422877825
15,-1724.515484025032
16,-1952.8635444024164
17,-2030.9790557422396
18,-2240.402559841264
19,-2277.6430263973953
20,-2362.7955203516576
21,-2647.281502234657
22,-2847.536214282429
23,-2813.239167087193
24,-2941.256091076439
25,-3187.7127778679705
26,-3231.0946135850063
27,-3278.0046092430152
28,-3352.3639566933257
29,-3319.751319494514
30,-3502.4999711123155
31,-3608.7584539724917
32,-3703.440586068877
33,-3641.9241508571586
34,-3501.839150278294
35,-3683.694818676962
36,-3812.8606195959123
37,-4000.006965403377
38,-4082.818888140831
39,-4197.452537343801
40,-4277.78330026272
